id,product_uid,product_title,product_description,search_term,name,value,price,beauty
1,10001,Hydrating Facial Serum,A lightweight facial serum that deeply hydrates the skin.,"facial serum, hydrating",Skin Type,Dry,24.65,4.7
2,10002,Anti-Aging Cream,A powerful cream that reduces fine lines and wrinkles.,"anti-aging, wrinkle care",Effect,Anti-Wrinkle,75.79,4.5
3,10003,Rejuvenating Night Cream,A luxurious night cream that restores skin overnight.,"night cream, rejuvenating",Skin Type,All Skin,73.58,4.8
4,10004,Brightening Vitamin C Serum,An invigorating Vitamin C serum for glowing skin.,"vitamin C, brightening",Effect,Glowing,26.2,4.3
5,10005,Moisturizing Body Lotion,A rich body lotion that locks in moisture all day.,"body lotion, moisturizing",Skin Type,All Skin,88.68,4.7
6,10006,Soothing Aloe Vera Gel,An aloe vera gel that soothes irritated skin.,"aloe vera, soothing",Skin Type,Irritated,38.22,4.4
7,10007,Deep Cleansing Facial Wash,A gentle facial wash that deeply cleanses and refreshes.,"facial wash, cleansing",Skin Type,Oily,76.08,4.2
8,10008,Exfoliating Face Scrub,An exfoliating scrub that reveals smoother skin.,"exfoliating scrub, face scrub",Effect,Smooth,78.49,4.3
9,10009,Clarifying Toner,A clarifying toner that restores the skin's pH balance.,"clarifying toner, pH balance",Skin Type,Clear,66.75,4.1
10,10010,Nourishing Hair Mask,A hair mask that restores shine and softness.,"hair mask, moisturizing",Effect,Shiny,71.56,4.5
11,10011,Repairing Hand Cream,A nourishing hand cream that hydrates dry hands.,"hand cream, nourishing",Skin Type,Soft,45.92,4.1
12,10012,Luxury Bath Bombs,A set of luxurious bath bombs for a relaxing bath experience.,"bath bombs, luxury",Effect,Moisturized,44.13,3.7
13,10013,Blemish Control Gel,A blemish control gel that reduces acne and spots.,"blemish control, acne treatment",Effect,Acne,86.62,4.9
14,10014,Revitalizing Eye Cream,An eye cream that rejuvenates and reduces puffiness.,"eye cream, anti-puffiness",Effect,Puffy,85.11,3.9
15,10015,Acne Treatment Cream,A targeted cream that treats and prevents acne breakouts.,"acne cream, treatment",Skin Type,Blemishes,72.66,4.1
16,10016,Hydrating Face Mist,A hydrating mist for fresh and glowing skin.,"face mist, hydrating",Skin Type,Fresh,33.94,4.0
17,10017,Radiance Boosting Serum,A radiance-boosting serum to brighten your complexion.,"radiance serum, brightening",Effect,Radiant,95.38,3.9
18,10018,Age-Defying Neck Cream,A neck cream that firms and smooths the skin.,"neck cream, firming",Skin Type,Firm,68.74,4.2
19,10019,Gentle Makeup Remover,A makeup remover that gently cleanses and refreshes.,"makeup remover, cleansing",Effect,Sensitive,94.22,4.1
20,10020,Whitening Toothpaste,A fluoride-free whitening toothpaste for a brighter smile.,"whitening toothpaste, oral care",Effect,Whitening,34.37,5.0
21,10021,Hair Growth Shampoo,A hair growth shampoo that promotes healthy hair.,"hair growth, shampoo",Skin Type,Shiny,14.33,4.4
22,10022,Revitalizing Lip Balm,A soothing lip balm that hydrates and protects lips.,"lip balm, hydrating",Effect,Glowing,36.04,4.9
23,10023,Shimmering Body Oil,A shimmering body oil that adds a healthy glow.,"body oil, shimmer",Skin Type,Smooth,75.53,3.7
24,10024,Anti-Wrinkle Day Cream,A rich day cream that fights wrinkles and fine lines.,"anti-wrinkle, day cream",Effect,Anti-Wrinkle,24.64,4.7
25,10025,Balancing Facial Toner,A balancing toner that clears the skin and tightens pores.,"facial toner, balancing",Effect,Hydrating,49.18,4.7
26,10026,Soothing Lip Scrub,A lip scrub that exfoliates and softens lips.,"lip scrub, exfoliating",Skin Type,Moisturized,95.75,4.3
27,10027,Smoothing Hair Serum,A hair serum that tames frizz and adds shine.,"hair serum, shine",Effect,Nourishing,79.56,4.5
28,10028,Brightening Sheet Mask,A brightening sheet mask that boosts skin's radiance.,"brightening mask, sheet mask",Effect,Dry,37.33,4.3
29,10029,Anti-Redness Cream,A cream that reduces redness and irritation on the skin.,"redness treatment, skin care",Effect,Anti-Aging,61.32,4.1
30,10030,Deep Hydration Lip Mask,"A hydrating lip mask for soft, plump lips.","lip mask, hydrating",Skin Type,Hydrating,67.86,4.0
31,10031,Nourishing Night Oil,A nourishing night oil that repairs and rejuvenates the skin.,"night oil, nourishing",Skin Type,Rejuvenating,82.99,4.2
32,10032,Skin Firming Serum,A firming serum that lifts and tightens skin.,"firming serum, skin care",Skin Type,Anti-Redness,59.13,4.5
33,10033,Cleansing Oil,A gentle cleansing oil that removes makeup effortlessly.,"cleansing oil, makeup remover",Effect,Anti-Wrinkle,65.52,4.0
34,10034,Refreshing Face Mask,A refreshing mask that revitalizes and nourishes.,"refreshing mask, face mask",Skin Type,Sensitive,95.24,4.7
35,10035,Ultra-Hydrating Hand Cream,A hand cream that provides ultra-hydration for dry skin.,"hand cream, ultra-hydrating",Effect,Calming,84.09,4.4
36,10036,Restorative Night Cream,A restorative night cream that hydrates and repairs.,"night cream, restorative",Effect,Hydrated,39.83,3.7
37,10037,Brightening Eye Serum,A brightening eye serum that reduces dark circles.,"eye serum, brightening",Effect,Detox,36.07,3.6
38,10038,Anti-Puffiness Eye Gel,An eye gel that reduces puffiness and smooths the skin.,"eye gel, anti-puffiness",Skin Type,Hydrated,34.76,3.6
39,10039,Moisturizing Hair Oil,A moisturizing hair oil that nourishes dry hair.,"hair oil, moisturizing",Skin Type,Soothing,88.56,4.2
40,10040,Repairing Foot Cream,A foot cream that soothes tired and cracked feet.,"foot cream, soothing",Skin Type,Firm,66.97,4.0
41,10041,Detoxifying Clay Mask,A detoxifying clay mask that draws out impurities.,"clay mask, detoxifying",Effect,Radiant,21.85,4.7
42,10042,Acne Spot Treatment,A spot treatment for acne and blemishes.,"acne spot treatment, blemishes",Effect,Nourished,23.23,4.3
43,10043,Rejuvenating Facial Mist,A facial mist that revitalizes the skin throughout the day.,"facial mist, refreshing",Skin Type,Shiny,12.74,4.6
44,10044,Calming Face Cream,A calming cream that soothes irritated skin.,"face cream, calming",Skin Type,Moisturized,49.64,4.5
45,10045,Hydrating Sunblock,A sunblock that protects the skin from harmful UV rays.,"sunblock, UV protection",Skin Type,Hydrating,34.44,4.4
46,10046,Natural Lip Tint,A natural lip tint that adds a soft hint of color.,"lip tint, natural",Effect,Nourishing,64.8,4.0
47,10047,Firming Body Lotion,A body lotion that firms and tones the skin.,"body lotion, firming",Effect,Protecting,78.03,3.6
48,10048,Moisturizing Face Gel,A moisturizing gel that keeps your skin hydrated all day.,"face gel, moisturizing",Effect,Shiny,84.36,4.7
49,10049,Rejuvenating Body Scrub,A rejuvenating scrub that removes dead skin cells.,"skin scrub, rejuvenating",Effect,Soft,28.46,4.7
50,10050,Anti-Stress Body Oil,A body oil that relieves stress and nourishes the skin.,"body oil, stress relief",Effect,Clear,95.21,4.1
